Fighter Name,Fighter URL
Alex Karalexis_The Assassin,http://www.fightmetric.com/fighter-details/e361e5c858af6ff1
Walt Harris_The Big Ticket,http://www.fightmetric.com/fighter-details/03f982ca3735070c
Jake Lindsey_The Librarian,http://www.fightmetric.com/fighter-details/33e00249ef08d3a4
Rick Davis_The Flying Squirrel,http://www.fightmetric.com/fighter-details/2549d63da9c456cb
Adam Antolin_Captain Chaos,http://www.fightmetric.com/fighter-details/25b31165758402dd
Felipe Olivieri_,http://www.fightmetric.com/fighter-details/948880beac71f028
Damian Grabowski_The Polish Pitbull,http://www.fightmetric.com/fighter-details/3f11b5d4bd76a6d9
Michael Johnson_The Menace,http://www.fightmetric.com/fighter-details/511e82663651438d
Steve Byrnes_The Sergeant,http://www.fightmetric.com/fighter-details/43612456979e5d5e
Kyle Bolt_,http://www.fightmetric.com/fighter-details/9d455d5cfe6a0e35
Marion Reneau_The Belizean Bruiser,http://www.fightmetric.com/fighter-details/c7d297714d9ab1a4
Tra Telligman_Trauma,http://www.fightmetric.com/fighter-details/1dab0d1d81dd06db
Todd Brown_Bulldog,http://www.fightmetric.com/fighter-details/9b68bf67c5695185
Chris Avila_,http://www.fightmetric.com/fighter-details/4665cbf36b08193b
Joseph Sandoval_,http://www.fightmetric.com/fighter-details/696002b59f09d73b
Bobby Lashley_,http://www.fightmetric.com/fighter-details/b0826525fa17231d
Alexander Yakovlev_Thunder of the North,http://www.fightmetric.com/fighter-details/d06f8869449ba7bd
Pedro Nobre_The Rock,http://www.fightmetric.com/fighter-details/e983c62faf677ab2
Paul Varelans_The Polar Bear,http://www.fightmetric.com/fighter-details/07a18ae55dfc3cd9
Vitor Belfort_The Phenom,http://www.fightmetric.com/fighter-details/0ee783aa00e468f0
Thaddeus Luster_,http://www.fightmetric.com/fighter-details/505934897b8b4824
Aaron Wilkinson_The Daywalker,http://www.fightmetric.com/fighter-details/338a11d3674eb2d4
Kyung Ho Kang_Mr. Perfect,http://www.fightmetric.com/fighter-details/a7897d200692ab64
Geronimo dos Santos_Mondragon,http://www.fightmetric.com/fighter-details/b51f6791c794e289
Jon Olav Einemo_The Viking,http://www.fightmetric.com/fighter-details/0577808d22dfe79c
Allen Crowder_Pretty Boy,http://www.fightmetric.com/fighter-details/a9d6e047ce48ab63
Rich Clementi_No Love,http://www.fightmetric.com/fighter-details/7d21de9c6d7c98b2
Junior Dos Santos_Cigano,http://www.fightmetric.com/fighter-details/63def5a5662a6917
Roger Zapata_Viva,http://www.fightmetric.com/fighter-details/fe5ca7ef93c3f6a7
Vitor Vianna_,http://www.fightmetric.com/fighter-details/744f50016c39c26c
Jason Medina_,http://www.fightmetric.com/fighter-details/f53fb9d9e57cc38e
Dileno Lopes_,http://www.fightmetric.com/fighter-details/8270c00fae24c922
Philip Perez_,http://www.fightmetric.com/fighter-details/eee8efec7b951d84
Chico Camus_The King,http://www.fightmetric.com/fighter-details/32be4b7f7de1c905
Nate James_,http://www.fightmetric.com/fighter-details/a34fecf2f4e5a317
Jeff Cox_The Grinder,http://www.fightmetric.com/fighter-details/c9bbf1a0285a8076
Joachim Hansen_Hellboy,http://www.fightmetric.com/fighter-details/86e388ed20761ad9
Josh Stewart_,http://www.fightmetric.com/fighter-details/601cf40c09090853
Lee Higgins_,http://www.fightmetric.com/fighter-details/88432fe79d5091d9
Gerric Hayes_,http://www.fightmetric.com/fighter-details/7d6a3546c988cdc0
Thiago Tavares_,http://www.fightmetric.com/fighter-details/8a59d346dc976a10
Dean Lister_The Boogeyman,http://www.fightmetric.com/fighter-details/68c6cd5287b473a7
Jason Sharp_,http://www.fightmetric.com/fighter-details/285e32e41f61a5b1
Josh Stansbury_The Sandman,http://www.fightmetric.com/fighter-details/30ea504870f8597b
Alptekin Ozkilic_The Turkish Delight,http://www.fightmetric.com/fighter-details/e18a19001a3f7c7d
Devin Cole_,http://www.fightmetric.com/fighter-details/1174782eacde9b0c
