NAME_NICKNAME,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Eric Steenberg_,5/1/2000,--,155 lbs.,--,,22-Jun-83,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/377bc9dc0b2745f9
Nate Marquardt_The Great,38-19-2,"6' 0""",185 lbs.,"74""",Orthodox,20-Apr-79,2.71,49%,2.32,55%,1.87,51%,70%,0.8,http://www.fightmetric.com/fighter-details/a8e6a69796280f17
Soichi Nishida_,5/10/2001,"5' 11""",320 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/6810d8d2dd557cf9
Tatsuya Iwasaki_,0-1-0,"5' 9""",205 lbs.,--,Orthodox,--,0.79,100%,8.68,38%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/243b07fc65ccbb16
Andrew Sanchez_El Dirte,10/4/2000,"6' 1""",185 lbs.,"74""",Orthodox,8-Apr-88,4.81,49%,5.16,47%,3.56,44%,100%,0,http://www.fightmetric.com/fighter-details/fccf811c1e8b01c7
John Matua_,1/4/2000,"6' 2""",400 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/c933d423ebdbbbdb
Kevin Casey_King,9-5-1 (2 NC),"5' 11""",185 lbs.,"77""",Southpaw,15-Jun-81,2.27,53%,3.76,46%,0.79,22%,27%,0.4,http://www.fightmetric.com/fighter-details/8d9586726252dbf7
Reuben Duran_,8/5/2001,"5' 7""",135 lbs.,"69""",Orthodox,2-Jul-83,3.19,49%,2.61,50%,0.98,23%,25%,0.7,http://www.fightmetric.com/fighter-details/4417980b3e798abf
Sean Holden_,5/2/2000,"5' 10""",170 lbs.,--,,17-Sep-84,2.4,59%,0.6,59%,5,83%,0%,2,http://www.fightmetric.com/fighter-details/acbb9c76f5894e36
Jeremiah Billington_,11/2/2000,"5' 9""",205 lbs.,--,Orthodox,14-Nov-77,1.6,62%,7.06,35%,0,0%,50%,0,http://www.fightmetric.com/fighter-details/b3b6e80b7d5f8f0d
Jeremy Tavares_,1/5/2000,--,135 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/681d07e328798ec0
Martin Kampmann_The Hitman,20-7-0,"6' 0""",170 lbs.,"72""",Orthodox,17-Apr-82,3.22,42%,3.28,62%,1.86,41%,78%,2,http://www.fightmetric.com/fighter-details/8b69839f3555a67b
Muhsin Corbbrey_,9/7/2000,"5' 10""",155 lbs.,--,Orthodox,18-May-78,2.02,34%,5.41,53%,0,0%,80%,0.4,http://www.fightmetric.com/fighter-details/1f9344211ca7fd60
Chuck O'Neil_Cold Steel,9/4/2000,"6' 2""",170 lbs.,--,,22-Sep-85,3.13,37%,4.4,72%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/56bc9ccb609df534
Tor Troeng_The Hammer,16-7-1,"6' 2""",185 lbs.,"77""",Orthodox,25-Jan-83,1.16,46%,3.26,32%,0.62,7%,66%,0.3,http://www.fightmetric.com/fighter-details/8abf70f79e9e27c2
Jonathan Meunier_The French Spider,8/1/2000,"6' 3""",170 lbs.,"75""",Switch,4-Aug-87,3.47,50%,1.43,69%,0.58,33%,58%,0,http://www.fightmetric.com/fighter-details/5823ceab56741617
Jason Miller_Mayhem,34-10-0 (1 NC),"6' 1""",185 lbs.,"72""",Orthodox,24-Dec-80,1.83,43%,2.3,49%,1.31,28%,43%,1.3,http://www.fightmetric.com/fighter-details/b2f88c04c4dd43ce
Codale Ford_Crunch Time,11/9/2000,"5' 9""",170 lbs.,--,,13-May-79,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/5340123d826ceadb
Walel Watson_The Gazelle,9/5/2000,"5' 11""",135 lbs.,"69""",Orthodox,16-Jul-84,2.1,29%,3.79,43%,0,0%,61%,1.4,http://www.fightmetric.com/fighter-details/92aafa8f4b26269b
Alavutdin Gadjiev_,18-12-1,"6' 2""",185 lbs.,--,Orthodox,23-Jun-82,0.99,27%,0.99,57%,0,0%,50%,0,http://www.fightmetric.com/fighter-details/a7a79b8efbceaaac
Jeremiah O'Neal_,13-25-0,"5' 8""",260 lbs.,--,,25-Oct-77,1.15,40%,7.5,23%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/338fda4ec7034c5d
David Barrios_,4/5/2000,"5' 6""",145 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/e6015889f50075d2
Megumi Fujii_Mega Megu,26-3-0,"5' 3""",113 lbs.,--,,26-Apr-74,2.4,42%,0,100%,0,0%,0%,12,http://www.fightmetric.com/fighter-details/fb6c531726447ff3
Joe Benoit_,11/4/2000,"5' 9""",170 lbs.,--,Orthodox,12-Mar-82,0,0%,0,100%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/a30f6d375dea5f9b
Billy Evangelista_,11-2-0 (1 NC),"5' 8""",155 lbs.,"68""",Orthodox,7-Oct-80,4.51,40%,3.96,61%,1.6,19%,61%,0.2,http://www.fightmetric.com/fighter-details/9766ed20b68c7c33
Charles McTorry_,2-0-0,--,--,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/acd8a53f7c0ce85e
Mikey Burnett_The Eastside Assassin,5/2/2000,"5' 6""",170 lbs.,--,Orthodox,12-Apr-74,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/4c805f5f58a75df0
Julio Paulino_The Dominican Demon,17-4-0,"6' 0""",170 lbs.,--,Orthodox,4-Dec-75,0.97,27%,1.87,48%,0,0%,37%,0.5,http://www.fightmetric.com/fighter-details/60c72f7459827881
Eric Shelton_Showtime,11/4/2000,"5' 6""",125 lbs.,"68""",Orthodox,2-Feb-91,3.31,50%,1.53,66%,3.33,47%,46%,0.3,http://www.fightmetric.com/fighter-details/a0c64f272b65d441
Shunichi Shimizu_Rolling Star,28-9-10 (1 NC),"5' 5""",135 lbs.,"66""",Orthodox,31-Jan-85,0.14,33%,4.68,30%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/10657c60ce349e0f
Chris Bostick_,6/3/2000,--,--,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/239224bedeb2c7a4
Yuya Shirai_,21-10-1,"5' 8""",168 lbs.,--,Orthodox,2-Apr-80,1.02,100%,4.07,55%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/a79bfbc01b2264d6
Maia Stevenson_,6/4/2000,"5' 4""",115 lbs.,--,,19-Mar-82,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/2fee10d5cf86bfca
Matt Secor_,8/4/2000,"6' 0""",170 lbs.,--,,26-Sep-86,1.02,20%,1.63,50%,6.12,100%,0%,6.1,http://www.fightmetric.com/fighter-details/d1ce40aca99a9b70
Mike Nickels_,9/5/2000,"6' 4""",205 lbs.,--,Orthodox,13-Dec-71,4.44,52%,1.11,64%,11.11,80%,0%,2.8,http://www.fightmetric.com/fighter-details/330ec26453c44a59
Ralph Gracie_,6/1/2000,"5' 9""",183 lbs.,--,Orthodox,--,0.86,37%,1.72,31%,0,0%,25%,4,http://www.fightmetric.com/fighter-details/a9c45a8b21eabadc
Clayton MacFarlane_,4/1/2000,--,170 lbs.,--,,--,1.33,52%,1.82,55%,1.05,33%,37%,0,http://www.fightmetric.com/fighter-details/39831e62d12e7ad1
Dong Hyun Kim_Maestro,15-8-3,"5' 11""",155 lbs.,"70""",Orthodox,9-Sep-88,3.5,46%,5.1,50%,2.32,60%,33%,0,http://www.fightmetric.com/fighter-details/98a6b2361045898f
Andre Winner_,13-6-1,"5' 11""",155 lbs.,"73""",Orthodox,9-Nov-81,2.52,33%,4.57,51%,0,0%,74%,0,http://www.fightmetric.com/fighter-details/b45d6b73f4ca4467
Brandon Polcare_,1/1/2000,--,125 lbs.,--,,--,0.43,50%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/543cd2258f4fa339
Sheldon Westcott_,10/3/2001,"6' 1""",170 lbs.,"71""",Southpaw,20-Aug-84,2.26,40%,3.73,37%,3.23,37%,14%,0,http://www.fightmetric.com/fighter-details/ec2d13a87d3d9541
Josh Clopton_The Gentleman,6/2/2001,"5' 6""",145 lbs.,"68""",Orthodox,11-Jul-81,1.6,64%,2.87,50%,2,66%,75%,0,http://www.fightmetric.com/fighter-details/48e96d9cea6d4ab0
Anthony Pettis_Showtime,20-7-0,"5' 10""",155 lbs.,"72""",Orthodox,27-Jan-87,2.81,45%,2.82,56%,0.82,54%,58%,1.2,http://www.fightmetric.com/fighter-details/cbb682f5fcc44bfc
Jessamyn Duke_The Gun,3-3-0 (1 NC),"5' 11""",135 lbs.,"73""",,24-Jun-86,4.83,53%,4.43,57%,1.27,36%,50%,1.9,http://www.fightmetric.com/fighter-details/a7ddae0be8b78147
Junior Assuncao_,13-4-0,"5' 9""",145 lbs.,"72""",Orthodox,24-Jun-81,3.31,62%,2.06,44%,2.43,24%,66%,0.7,http://www.fightmetric.com/fighter-details/d0d7160824278840
Marcin Bandel_Bomba,13-4-0,"5' 10""",155 lbs.,"70""",Orthodox,10-Oct-89,0.79,50%,5.26,23%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/5c2ce761399dc9c5
Achmed Labasanov_,8/5/2000,"6' 3""",215 lbs.,--,Orthodox,24-Apr-78,0.75,39%,1.1,46%,3,100%,0%,0.8,http://www.fightmetric.com/fighter-details/b3fb8d2293e17a59
Thomas Denny_The Wildman,27-19-1,"5' 10""",170 lbs.,--,Orthodox,19-Apr-71,2.26,33%,5.94,43%,0.97,50%,44%,0,http://www.fightmetric.com/fighter-details/a11a6ee8eeb03c18
Yao Zhikui_The Conqueror,2/5/2000,"5' 5""",125 lbs.,"64""",Orthodox,7-Feb-91,1.44,21%,2.82,48%,0.66,16%,58%,0,http://www.fightmetric.com/fighter-details/5ea918ea81b7dee2
Ronys Torres_,22-4-0,"5' 7""",155 lbs.,--,Orthodox,13-Aug-75,0.87,26%,1.93,57%,4,47%,16%,0.5,http://www.fightmetric.com/fighter-details/cce79e827569f26e
Scott Harper_,12/7/2000,"6' 0""",185 lbs.,--,Orthodox,14-Apr-72,1.3,54%,4.98,47%,3.25,100%,0%,0,http://www.fightmetric.com/fighter-details/14a433bccba87016
Justin Martin_,4/3/2000,"6' 0""",185 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/3da19339ee7051d5
Luis Henrique_KLB,10-4-0 (1 NC),"6' 2""",243 lbs.,"74""",Orthodox,21-Aug-93,1.76,41%,2.01,44%,2.85,36%,50%,1,http://www.fightmetric.com/fighter-details/e5bda12faabfc850
Jorgen Kruth_The Last Viking,5-0-0,"6' 2""",205 lbs.,--,,8-May-74,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/6071d786f6187810
LC Davis_,17-4-0,"5' 8""",135 lbs.,"69""",Southpaw,28-Oct-80,2.04,30%,2.1,59%,2.27,46%,66%,0.2,http://www.fightmetric.com/fighter-details/6dab8ce5e4bffe77
Matt Grice_The Real One,15-5-0,"5' 8""",145 lbs.,"70""",Orthodox,29-Jul-81,4.09,53%,2.69,56%,2.19,37%,82%,0.5,http://www.fightmetric.com/fighter-details/bfc2fc38a0e20211
Cameron Dollar_,9/4/2000,"5' 11""",155 lbs.,--,Orthodox,12-May-87,5.04,38%,2.94,61%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/3bbcd63a016d9715
Scott Lighty_,6/2/2000,"6' 2""",205 lbs.,--,,15-Oct-78,2.91,21%,4.24,49%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/998c8890a8dde1eb
Matt Lucas_Luke Duke,14-2-0,"6' 1""",205 lbs.,--,,--,1.27,48%,3.93,40%,1,10%,0%,0,http://www.fightmetric.com/fighter-details/668222c99c5c311d
Dave Berry_,0-1-0,--,--,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/b3bbe88fecd6a0d2
Fred Ettish_,1/1/2000,"6' 0""",180 lbs.,--,Southpaw,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/8d5daf67983b65ba
Sean O'Haire_,4/2/2000,"6' 5""",270 lbs.,--,Orthodox,25-Feb-71,8.28,57%,22.76,21%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/46effbd1135423c5
Josh McDonald_,8-4-0 (1 NC),--,185 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/b507a76087e3ed9f
Roger Gracie_,6/2/2000,"6' 4""",185 lbs.,"79""",Orthodox,26-Sep-81,1.78,35%,1.79,61%,1.87,53%,60%,1.9,http://www.fightmetric.com/fighter-details/a6bbd3df469c6bea
Ben Reiter_The Hunter,17-2-1,"6' 3""",185 lbs.,--,,27-Jun-87,1.8,46%,1.53,54%,7,43%,0%,0,http://www.fightmetric.com/fighter-details/ee7b7768a4e6dc45
Brock Lesnar_,5-3-0 (1 NC),"6' 3""",265 lbs.,"81""",Orthodox,12-Jul-77,3.53,72%,2.11,50%,3.9,55%,60%,0.5,http://www.fightmetric.com/fighter-details/513c6f1715e547a8
Wesley Correira_Cabbage,19-14-0,"6' 3""",260 lbs.,--,Orthodox,11-Nov-78,2.6,36%,8.8,40%,0,0%,90%,0,http://www.fightmetric.com/fighter-details/4e9fb05d7e5e61b8
Jeremy Larsen_,8-5-0 (1 NC),"5' 10""",145 lbs.,"70""",Orthodox,18-May-84,4.87,48%,5.75,57%,2.49,33%,0%,0,http://www.fightmetric.com/fighter-details/c3bd649a9194e50c
Ricardo Lamas_The Bully,18-6-0,"5' 8""",145 lbs.,"71""",Orthodox,21-May-82,2.77,43%,2.52,58%,1.67,32%,47%,1,http://www.fightmetric.com/fighter-details/3974fa35c917af1d
Colby Covington_Chaos,13-1-0,"5' 11""",170 lbs.,"72""",Orthodox,22-Feb-88,3.09,41%,1.71,62%,5.98,53%,88%,0.3,http://www.fightmetric.com/fighter-details/dc9572dd6ec74859
Steve Lopez_,12/6/2001,"5' 11""",155 lbs.,--,Orthodox,30-Jul-84,1.39,24%,2.69,62%,0,0%,37%,0,http://www.fightmetric.com/fighter-details/6085ceb59087514b
Michel Prazeres_Tractor,23-2-0,"5' 6""",155 lbs.,"67""",Orthodox,25-Jul-81,2.56,46%,2.4,60%,4.44,38%,46%,0.4,http://www.fightmetric.com/fighter-details/e51fcd9cd84c0b93
Sean Loeffler_The Destroyer,25-5-0,"6' 3""",185 lbs.,--,Orthodox,23-May-82,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/d3d1ff3f3dfa0931
Ansar Chalangov_,14-4-0,"5' 9""",170 lbs.,--,Orthodox,30-Oct-79,0.68,66%,1.69,54%,0,0%,0%,7.6,http://www.fightmetric.com/fighter-details/7342fcc41a4817fa
Dave Terrel_The Bionic,7/6/2000,"5' 8""",170 lbs.,--,Southpaw,10-May-78,5.58,44%,5.71,48%,0,0%,100%,0,http://www.fightmetric.com/fighter-details/b9aa0024f295609e
Piotr Hallmann_Pletwal,15-5-0,"5' 9""",155 lbs.,"71""",Orthodox,25-Aug-87,3.98,45%,3.17,58%,2.55,44%,70%,0.4,http://www.fightmetric.com/fighter-details/a3be148af5c7b088
Ryan Stonitsch_,8/1/2000,"5' 9""",170 lbs.,--,Southpaw,3-Feb-77,2.53,36%,2.53,71%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/8d477c3fbe001f9d
Lionel Lanham_,3/1/2000,--,205 lbs.,--,,31-Aug-80,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/b8980dd7e8fc5976
Scott Baker_,1/1/2000,"6' 0""",210 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/7d5b12de1625984e
Parker Porter_,6/4/2000,--,260 lbs.,--,,--,8.54,47%,6.37,64%,1.91,100%,0%,1.9,http://www.fightmetric.com/fighter-details/ac40f7e3cbecdda4
James Wilks_Lightning,7/4/2000,"6' 1""",170 lbs.,"75""",Orthodox,4-May-78,1.82,45%,2.03,50%,1.27,22%,66%,3.8,http://www.fightmetric.com/fighter-details/852454c572675334
Paul Rodriguez_,10/8/2002,"5' 7""",155 lbs.,--,Orthodox,--,0.84,100%,1.68,68%,0,0%,50%,0,http://www.fightmetric.com/fighter-details/26eddcda9d6b2ffe
Robert Lucarelli_,0-1-0,"6' 2""",245 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/96087e90d900f0ef
Dillon Smith_,0-0-0,"6' 0""",170 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/ffee353f55e3aa2c
Delson Heleno_Pe De Chumbo,23-7-0,"5' 11""",185 lbs.,--,Orthodox,16-Nov-77,0.69,75%,4.83,19%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/970beed85bc46b63
Carl Seumanutafa_,4/3/2000,"6' 1""",255 lbs.,--,Orthodox,--,0,0%,3.33,75%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/dadaeb402526dca5
Anthony Morrison_Cheesesteak,16-10-0 (1 NC),"5' 7""",145 lbs.,--,Orthodox,29-Mar-84,1.7,33%,0.49,80%,0,0%,50%,0,http://www.fightmetric.com/fighter-details/dab0e6cb8c932162
Brock Jardine_The Machine,9/3/2000,"5' 11""",170 lbs.,"73""",Orthodox,10-Jul-85,1.06,30%,3.34,56%,0,0%,14%,0.8,http://www.fightmetric.com/fighter-details/64959f90b6dd9759
Marcus Bossett_The Grasshopper,1/3/2000,"6' 1""",215 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/e8fb8e53bc2e29d6
Osamu Tachihikari_,0-4-0,"6' 5""",300 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/e7bc606d269896aa
Bill Duvall_,1/2/2000,"6' 2""",185 lbs.,--,Southpaw,--,0,0%,2.4,40%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/7df4d3c38792b083
Elaina Maxwell_Beef,6/4/2000,"5' 8""",145 lbs.,--,Orthodox,16-Dec-78,2.07,60%,2.4,53%,0,0%,50%,1,http://www.fightmetric.com/fighter-details/a16ce18149021139
Kevin Gray_Pocket Herc,9/4/2000,"5' 4""",125 lbs.,"67""",Orthodox,3-May-85,3.45,62%,4.48,66%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/bb0d290026d7681d
Benito Lopez_Golden Boy,9-0-0,"5' 10""",135 lbs.,"73""",Switch,6-Apr-94,5.17,45%,5.33,60%,0,0%,84%,0.5,http://www.fightmetric.com/fighter-details/773f7feacf96153e
Gokhan Saki_The Rebel,1/1/2000,"6' 0""",205 lbs.,"73""",Orthodox,19-Oct-83,8.42,60%,4.21,55%,0,0%,100%,0,http://www.fightmetric.com/fighter-details/4690d47bf725fd98
Sean Bassett_,0-4-0,--,155 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/2c733e059462c1dc
Jonathan Brookins_,14-6-0,"6' 0""",145 lbs.,"73""",Southpaw,13-Aug-85,2.69,39%,3.63,56%,1.94,17%,80%,0.3,http://www.fightmetric.com/fighter-details/b0a6124751a56bc4
Montana De La Rosa_,8/4/2000,"5' 7""",125 lbs.,"68""",,14-Feb-95,3,35%,5,41%,0,0%,0%,7.5,http://www.fightmetric.com/fighter-details/80d8aed0ca9b00f3
Jimi Manuwa_Poster Boy,17-3-0,"6' 1""",205 lbs.,"79""",Orthodox,18-Feb-80,3.55,58%,3.09,49%,0.72,25%,68%,0.5,http://www.fightmetric.com/fighter-details/1e1dbd1cc5a7469e
Luke Zachrich_,14-4-0,"6' 2""",185 lbs.,"74""",Orthodox,19-Dec-81,4.56,32%,4.46,62%,0.74,33%,80%,0,http://www.fightmetric.com/fighter-details/2284092f8b63273b
Tim Boetsch_The Barbarian,21-11-0,"6' 0""",185 lbs.,"74""",Orthodox,28-Jan-81,2.98,51%,2.77,57%,1.6,35%,58%,0.8,http://www.fightmetric.com/fighter-details/c80095f6092271a7
John Doyle_The Iron Bull,11-20-0 (1 NC),"5' 11""",205 lbs.,--,Orthodox,21-Nov-76,3.5,44%,10.51,27%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/0509b954421bb327
Hiroshi Izumi_,4/2/2000,--,205 lbs.,--,Orthodox,22-Jun-82,1.95,37%,2.65,66%,3.35,70%,100%,0.5,http://www.fightmetric.com/fighter-details/53e4e21f4c688801
Miguel Cosio_,1/12/2000,"6' 4""",205 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/d150c6fbdb7687f4
Erick Wanderlei_,3/3/2000,"6' 1""",205 lbs.,--,Orthodox,--,0.63,41%,2.66,40%,3.8,66%,0%,1.9,http://www.fightmetric.com/fighter-details/d57e6a8971b6d2bd
Lyoto Machida_The Dragon,22-8-0,"6' 1""",185 lbs.,"74""",Southpaw,30-May-78,2.62,53%,1.61,61%,1.32,65%,75%,0.4,http://www.fightmetric.com/fighter-details/f7a7f7118d4b01b6
Lacey Schuckman_,6/4/2000,"5' 3""",125 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/e44c679c30403cba
Han Ten Yun_,0-1-0,"5' 11""",220 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/67ec58d7cf599835
Josh Grispi_The Fluke,14-5-0,"5' 11""",145 lbs.,"74""",Orthodox,14-Oct-88,1.44,41%,3.71,50%,1.97,36%,16%,2.2,http://www.fightmetric.com/fighter-details/60ba33c3f555a7a3
Darren Till_,16-0-1,"6' 0""",170 lbs.,"74""",Southpaw,24-Dec-92,3.18,52%,3.25,62%,0.8,33%,82%,0,http://www.fightmetric.com/fighter-details/9ce6d5a03af801b7
Leandro Issa_Brodinho,13-6-0,"5' 7""",135 lbs.,"69""",Orthodox,19-Sep-83,2.08,37%,3.17,58%,2.38,22%,50%,1.2,http://www.fightmetric.com/fighter-details/d1e1fdcea7c8a90a
Tokimitsu Ishizawa_Kendo Ka Shin,1/5/2001,"6' 0""",185 lbs.,--,Orthodox,5-Aug-68,1.34,30%,2.99,59%,2.74,18%,0%,0,http://www.fightmetric.com/fighter-details/f3155a94ca420126
Ryan Hayes_,2/2/2000,--,--,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/a620638435de0628
Joey Gomez_KO King,6/2/2000,"5' 10""",135 lbs.,"73""",Orthodox,21-Jul-86,2.44,28%,4.46,55%,0.62,100%,50%,0,http://www.fightmetric.com/fighter-details/0778f94eb5d588a5
Jonavin Webb_The Spyder,8-2-0 (1 NC),"5' 10""",170 lbs.,"71""",Orthodox,28-Apr-89,1.47,30%,2.27,64%,2.5,31%,40%,1,http://www.fightmetric.com/fighter-details/f40ec51dd4de47c3
Justin Edwards_Fast Eddy,9/5/2000,"5' 10""",155 lbs.,"70""",Orthodox,26-Jan-83,2.68,42%,3.32,51%,2.14,26%,27%,1,http://www.fightmetric.com/fighter-details/e56daf7725a0b5ab
Josh Jarvis_,1/3/2000,--,--,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/32e8e0e8498f03c2
Raymond Daniels_,0-1-0,"6' 2""",185 lbs.,--,Southpaw,--,0,0%,2.61,38%,0,0%,33%,3,http://www.fightmetric.com/fighter-details/fccb0fee256b7b4d
Jason McLean_,6/4/2000,"5' 5""",145 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/8336d7a85ce45481
CJ Marsh_,5/1/2000,--,--,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/4c91eb190d5e0dd9
Chael Sonnen_,29-14-1,"6' 1""",205 lbs.,"74""",Southpaw,3-Apr-77,3.08,43%,1.1,62%,3.81,59%,66%,0.4,http://www.fightmetric.com/fighter-details/48d1f690b763934c
Rafael Dias_,15-8-2,"5' 9""",145 lbs.,--,Orthodox,20-Oct-79,1.13,27%,2.19,60%,3.17,47%,100%,1.2,http://www.fightmetric.com/fighter-details/b5abaa65f87938eb
Cortez Coleman_Hollywood,7/2/2000,"6' 1""",185 lbs.,--,,28-Jan-82,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/ffb20ae0db47ebe6
Sheila Gaff_The German Tank,10/6/2001,"5' 5""",135 lbs.,"62""",Orthodox,29-Dec-89,1.6,50%,2.89,28%,0,0%,20%,0,http://www.fightmetric.com/fighter-details/837d30395faca41e
David Heath_,16-7-0,"5' 11""",205 lbs.,"72""",Orthodox,10-Feb-76,1.48,30%,5.16,49%,0.33,50%,57%,1,http://www.fightmetric.com/fighter-details/4f95f74620a6b7a4
Azamat Gashimov_,10/3/2000,"5' 6""",125 lbs.,"66""",Orthodox,7-Apr-90,1.24,21%,4.75,53%,1.69,25%,0%,0,http://www.fightmetric.com/fighter-details/a1b0715c4fd2dbd3
Devin Powell_,8/3/2000,"6' 0""",155 lbs.,"73""",Orthodox,1-Mar-88,2.17,40%,3.5,43%,0,0%,0%,1,http://www.fightmetric.com/fighter-details/065eb44700e641a4
Jan Blachowicz_,21-7-0,"6' 2""",205 lbs.,"78""",Orthodox,24-Feb-83,3.39,49%,3.28,50%,1.65,64%,54%,0.3,http://www.fightmetric.com/fighter-details/99df7d0a2a08a8a8
Danny Henry_The Hatchet,11/2/2000,"6' 0""",155 lbs.,"73""",Orthodox,17-Jul-88,6.2,53%,4.6,46%,1,33%,100%,2,http://www.fightmetric.com/fighter-details/f7d73e452b064bf2
Lorenz Larkin_The Monsoon,18-5-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,3-Sep-86,3.53,46%,2.74,63%,0.27,42%,79%,0.1,http://www.fightmetric.com/fighter-details/9450848a71d53776
Rafael Silva_Morcego,28-6-0,"5' 7""",135 lbs.,--,,20-Mar-85,0.67,50%,0.73,67%,0,0%,25%,1,http://www.fightmetric.com/fighter-details/a31358d90d4bb40a
Mirko Cro Cop_Cro Cop,31-11-2 (1 NC),"6' 2""",230 lbs.,"73""",Southpaw,10-Sep-74,2.11,50%,1.89,63%,0.19,40%,78%,0.3,http://www.fightmetric.com/fighter-details/c32fb8c0f6471a4d
Scott Norton_Hollywood,7/1/2000,"5' 10""",170 lbs.,--,Orthodox,15-Mar-73,0.67,30%,0.34,60%,2.52,25%,0%,0,http://www.fightmetric.com/fighter-details/f21a3d68fb9df387
Matt Horwich_Suave,26-19-1,"6' 1""",185 lbs.,--,Orthodox,2-Oct-78,1.11,62%,2.16,38%,0.33,9%,28%,2.7,http://www.fightmetric.com/fighter-details/049d698d773eb3e1
Mike Whitehead_,27-7-0,"6' 1""",205 lbs.,--,Orthodox,29-Jun-81,1.62,33%,2.36,59%,3.59,43%,77%,0.3,http://www.fightmetric.com/fighter-details/22d1e00e1aabb7c9
Lumumba Sayers_,4/3/2000,"6' 0""",185 lbs.,--,,30-Jun-78,2.54,41%,2.37,48%,7.63,75%,0%,2.5,http://www.fightmetric.com/fighter-details/402ea3b5ee233852
Guido Cannetti_Ninja,7/3/2000,"5' 6""",135 lbs.,"68""",Southpaw,19-Dec-79,3.08,54%,2.07,55%,3.45,55%,93%,0,http://www.fightmetric.com/fighter-details/d05412b513b19621
Brandon Magana_,6/2/2000,--,170 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/2015c944226ad2df
