Date,Adj Close,Open,High,Low,Range,Volume,Unemp Claims,Ret Sales,Ind Prod,NFP,Direction
5/26/2008,1400.380005,1375.969971,1406.319946,1373.069946,33.25,15256170000,369000,337762,103.1178,137872,D
6/2/2008,1360.680054,1399.619995,1404.050049,1359.900024,44.150025,21571790000,362000,338234,102.9484,137710,D
6/9/2008,1360.030029,1360.829956,1370.630005,1331.290039,39.339966,22634280000,382000,338234,102.9484,137710,D
6/16/2008,1317.930054,1358.849976,1366.589966,1314.459961,52.130005,22219040000,378000,338234,102.9484,137710,D
6/23/2008,1278.380005,1319.77002,1335.630005,1272,63.630005,25156600000,381000,338234,102.9484,137710,D
6/30/2008,1262.900024,1278.060059,1292.170044,1252.01001,40.160034,19402300000,392000,338234,102.9484,137710,D
7/7/2008,1239.48999,1262.900024,1277.359985,1225.349976,52.010009,29063160000,371000,336570,102.4071,137497,U
7/14/2008,1260.680054,1241.609985,1262.310059,1200.439941,61.870118,32555620000,385000,336570,102.4071,137497,D
7/21/2008,1257.76001,1261.819946,1291.170044,1248.829956,42.340088,28317240000,402000,336570,102.4071,137497,U
7/28/2008,1260.310059,1257.76001,1284.930054,1234.369995,50.560059,25359450000,434000,336570,102.4071,137497,U
8/4/2008,1296.319946,1253.27002,1297.849976,1247.449951,50.400025,20941200000,448000,333836,100.8875,137230,U
8/11/2008,1298.199951,1294.420044,1313.150024,1274.859985,38.290039,22672020000,430000,333836,100.8875,137230,D
8/18/2008,1292.199951,1298.140015,1300.219971,1261.160034,39.059937,20317740000,424000,333836,100.8875,137230,D
8/25/2008,1282.829956,1290.469971,1300.680054,1263.209961,37.470093,17650180000,421000,333836,100.8875,137230,D
9/1/2008,1242.310059,1287.829956,1303.040039,1217.22998,85.810059,20070120000,442000,328031,96.5439,136780,U
9/8/2008,1251.699951,1249.5,1274.420044,1211.540039,62.880005,34417920000,441000,328031,96.5439,136780,U
9/15/2008,1255.079956,1250.920044,1265.119995,1133.5,131.619995,46641070000,449000,328031,96.5439,136780,D
9/22/2008,1213.27002,1255.369995,1255.369995,1179.790039,75.579956,26635470000,483000,328031,96.5439,136780,D
9/29/2008,1099.22998,1209.069946,1209.069946,1098.140015,110.929931,31026630000,483000,328031,96.5439,136780,D
10/6/2008,899.219971,1097.560059,1097.560059,839.799988,257.760071,42016790000,482000,314648,97.4562,136306,U
10/13/2008,940.549988,912.75,1044.310059,865.830017,178.480042,36533970000,461000,314648,97.4562,136306,D
10/20/2008,876.77002,943.51001,985.440002,852.849976,132.590026,30185400000,478000,314648,97.4562,136306,U
10/27/2008,968.75,874.280029,984.380005,845.27002,139.109985,32302980000,480000,314648,97.4562,136306,D
11/3/2008,930.98999,968.669983,1007.51001,899.72998,107.78003,26484080000,490000,301638,96.2593,135540,D
11/10/2008,873.289978,936.75,951.950012,818.690002,133.26001,29064670000,512000,301638,96.2593,135540,D
11/17/2008,800.030029,873.22998,882.289978,741.02002,141.269958,36745200000,536000,301638,96.2593,135540,U
11/24/2008,896.23999,801.200012,896.25,801.200012,95.049988,23366260000,532000,301638,96.2593,135540,D
12/1/2008,876.070007,888.609985,888.609985,815.690002,72.919983,30469750000,529000,294241,93.4434,134846,U
12/8/2008,879.72998,882.710022,918.570007,851.349976,67.220031,29662270000,570000,294241,93.4434,134846,U
12/15/2008,887.880005,881.070007,918.849976,857.719971,61.130005,29279860000,566000,294241,93.4434,134846,D
12/22/2008,872.799988,887.200012,887.369995,857.090027,30.279968,12348420000,587000,294241,93.4434,134846,U
12/29/2008,931.799988,872.369995,934.72998,857.070007,77.659973,15172440000,533000,294241,93.4434,134846,D
1/5/2009,890.349976,929.169983,943.849976,888.309998,55.539978,25219520000,503000,298823,91.2317,134053,D
1/12/2009,850.119995,890.400024,890.400024,817.039978,73.360046,30293780000,551000,298823,91.2317,134053,D
1/19/2009,831.950012,849.640015,849.640015,804.299988,45.340027,24519050000,591000,298823,91.2317,134053,D
1/26/2009,825.880005,832.5,877.859985,821.669983,56.190002,28010020000,586000,298823,91.2317,134053,U
2/2/2009,868.599976,823.090027,870.75,812.869995,57.880005,31088160000,629000,297795,90.6389,133351,D
2/9/2009,826.840027,868.23999,875.01001,808.059998,66.950012,30044110000,637000,297795,90.6389,133351,D
2/16/2009,770.049988,818.609985,818.609985,754.25,64.359985,25606060000,632000,297795,90.6389,133351,D
2/23/2009,735.090027,773.25,780.119995,734.52002,45.599975,37753880000,655000,297795,90.6389,133351,D
3/2/2009,683.380005,729.570007,729.570007,666.789978,62.780029,37964220000,652000,292427,89.1913,132528,U
3/9/2009,756.549988,680.76001,758.289978,672.880005,85.409973,37297180000,660000,292427,89.1913,132528,U
3/16/2009,768.539978,758.840027,803.23999,749.929993,53.309997,39816380000,651000,292427,89.1913,132528,U
3/23/2009,815.940002,772.309998,832.97998,772.309998,60.669982,34764100000,661000,292427,89.1913,132528,U
3/30/2009,842.5,809.070007,845.609985,779.809998,65.799987,31434350000,665000,292427,89.1913,132528,U
4/6/2009,856.559998,839.75,856.909973,814.530029,42.379944,24904750000,653000,293575,88.3876,131841,U
4/13/2009,869.599976,855.330017,875.630005,835.580017,40.049988,34196510000,599000,293575,88.3876,131841,D
4/20/2009,866.22998,868.27002,871.799988,826.830017,44.969971,35415850000,639000,293575,88.3876,131841,U
4/27/2009,877.52002,862.820007,888.700012,847.119995,41.580017,30217790000,620000,293575,88.3876,131841,U
5/4/2009,929.22998,879.210022,930.169983,879.210022,50.959961,39760120000,602000,296560,87.4424,131492,D
5/11/2009,882.880005,922.98999,922.98999,878.940002,44.049988,31688760000,625000,296560,87.4424,131492,U
5/18/2009,887,886.070007,924.599976,879.609985,44.989991,31698640000,620000,296560,87.4424,131492,U
5/25/2009,919.140015,887,920.02002,881.460022,38.559998,23155250000,606000,296560,87.4424,131492,U
6/1/2009,940.090027,923.26001,951.690002,923.26001,28.429992,28312350000,607000,301858,87.065,131021,U
6/8/2009,946.210022,938.119995,956.22998,926.440002,29.789978,24331760000,596000,301858,87.065,131021,D
6/15/2009,921.22998,942.450012,942.450012,903.780029,38.669983,25570130000,595000,301858,87.065,131021,D
6/22/2009,918.900024,918.130005,922,888.859985,33.140015,25599580000,608000,301858,87.065,131021,D
6/29/2009,896.419983,919.859985,931.919983,896.419983,35.5,16689730000,594000,301858,87.065,131021,D
7/6/2009,879.130005,894.27002,898.719971,869.320007,29.399964,23366910000,573000,302514,87.981,130692,U
7/13/2009,940.380005,879.570007,943.960022,875.320007,68.640015,23927320000,546000,302514,87.981,130692,U
7/20/2009,979.26001,942.070007,979.789978,940.98999,38.799988,25016500000,560000,302514,87.981,130692,U
7/27/2009,987.47998,978.630005,996.679993,968.650024,28.029969,26474660000,587000,302514,87.981,130692,U
8/3/2009,1010.47998,990.219971,1018,990.219971,27.780029,32139730000,555000,309012,88.9534,130479,D
8/10/2009,1004.090027,1008.890015,1013.140015,992.400024,20.739991,26868820000,555000,309012,88.9534,130479,U
8/17/2009,1026.130005,998.179993,1027.589966,978.51001,49.079956,23323250000,562000,309012,88.9534,130479,U
8/24/2009,1028.930054,1026.589966,1039.469971,1016.200012,23.269959,28722910000,560000,309012,88.9534,130479,D
8/31/2009,1016.400024,1025.209961,1028.449951,991.969971,36.47998,26431300000,564000,309012,88.9534,130479,U
9/7/2009,1042.72998,1018.669983,1048.180054,1018.669983,29.510071,20551690000,558000,300953,89.6229,130259,U
9/14/2009,1068.300049,1040.150024,1074.77002,1035,39.77002,30234840000,542000,300953,89.6229,130259,D
9/21/2009,1044.380005,1067.140015,1080.150024,1041.170044,38.97998,25406510000,536000,300953,89.6229,130259,D
9/28/2009,1025.209961,1045.380005,1069.619995,1019.950012,49.669983,26050400000,554000,300953,89.6229,130259,U
10/5/2009,1071.48999,1026.869995,1071.51001,1025.920044,45.589966,22333550000,533000,304078,89.9136,130055,U
10/12/2009,1087.680054,1071.630005,1096.560059,1066.709961,29.850098,23701850000,511000,304078,89.9136,130055,D
10/19/2009,1079.599976,1088.219971,1101.359985,1074.310059,27.049926,25592330000,531000,304078,89.9136,130055,D
10/26/2009,1036.189941,1080.359985,1091.75,1033.380005,58.369995,30408570000,530000,304078,89.9136,130055,U
11/2/2009,1069.300049,1036.180054,1071.47998,1029.380005,42.099975,26451130000,522000,306799,90.2811,130053,U
11/9/2009,1093.47998,1072.310059,1105.369995,1072.310059,33.059936,21094360000,512000,306799,90.2811,130053,D
11/16/2009,1091.380005,1094.130005,1113.689941,1086.810059,26.879882,20612520000,507000,306799,90.2811,130053,U
11/23/2009,1091.48999,1094.859985,1112.380005,1083.73999,28.640015,12928000000,482000,306799,90.2811,130053,U
11/30/2009,1105.97998,1091.069946,1119.130005,1086.25,32.880005,22677340000,475000,306799,90.2811,130053,U
12/7/2009,1106.410034,1105.52002,1110.719971,1085.890015,24.829956,20754380000,497000,308518,90.5265,129778,D
12/14/2009,1102.469971,1107.839966,1116.209961,1093.880005,22.329956,28364370000,498000,308518,90.5265,129778,U
12/21/2009,1126.47998,1105.310059,1126.47998,1105.310059,21.169921,12053050000,479000,308518,90.5265,129778,D
12/28/2009,1115.099976,1127.530029,1130.380005,1114.810059,15.569946,9561710000,468000,308518,90.5265,129778,U
1/4/2010,1144.97998,1116.560059,1145.390015,1116.560059,28.829956,21115350000,456000,308751,91.5636,129801,D
1/11/2010,1136.030029,1145.959961,1150.410034,1131.390015,19.020019,21816230000,469000,308751,91.5636,129801,D
1/18/2010,1091.76001,1136.030029,1150.449951,1090.180054,60.269897,22618330000,507000,308751,91.5636,129801,D
1/25/2010,1073.869995,1092.400024,1103.689941,1071.589966,32.099975,25397670000,471000,308751,91.5636,129801,D
