Date,Open,High,Low,Close,Volume,Range,MA21,MA50,Engulf,Direction
2/20/1950,17.23,17.23,17.200001,17.200001,2470000,0.029999,,,0,D
2/21/1950,17.17,17.17,17.17,17.17,1260000,0,,,0,U
2/23/1950,17.209999,17.209999,17.209999,17.209999,1310000,0,,,0,U
2/24/1950,17.280001,17.280001,17.280001,17.280001,1710000,0,,,0,D
2/27/1950,17.26,17.280001,17.26,17.280001,2030000,0.020001,,,1,D
2/28/1950,17.219999,17.219999,17.219999,17.219999,1310000,0,,,0,U
3/1/1950,17.24,17.24,17.24,17.24,1410000,0,,,0,D
3/2/1950,17.23,17.23,17.23,17.23,1340000,0,,,0,U
3/3/1950,17.290001,17.290001,17.290001,17.290001,1520000,0,,,0,U
3/6/1950,17.33,17.33,17.32,17.32,2410000,0.01,,,0,D
3/7/1950,17.200001,17.200001,17.200001,17.200001,1590000,0,,,0,D
3/8/1950,17.190001,17.190001,17.190001,17.190001,1360000,0,,,0,D
3/9/1950,17.07,17.07,17.07,17.07,1330000,0,,,0,U
3/10/1950,17.09,17.09,17.09,17.09,1260000,0,,,0,U
3/13/1950,17.139999,17.139999,17.120001,17.120001,1590000,0.019998,,,0,U
3/14/1950,17.25,17.25,17.25,17.25,1140000,0,,,0,U
3/15/1950,17.450001,17.450001,17.450001,17.450001,1830000,0,17.19380971,17.06620012,0,U
3/16/1950,17.49,17.49,17.49,17.49,2060000,0,17.21428595,17.08280012,0,D
3/17/1950,17.450001,17.450001,17.450001,17.450001,1600000,0,17.23285748,17.09480014,0,D
3/20/1950,17.49,17.49,17.440001,17.440001,2040000,0.049999,17.2542861,17.10500016,1,U
3/21/1950,17.450001,17.450001,17.450001,17.450001,1400000,0,17.26857186,17.11440018,0,U
3/22/1950,17.549999,17.549999,17.549999,17.549999,2010000,0,17.28523843,17.12380016,0,U
3/23/1950,17.559999,17.559999,17.559999,17.559999,2020000,0,17.30380981,17.13440012,0,D
3/24/1950,17.559999,17.559999,17.559999,17.559999,1570000,0,17.32047648,17.1438001,1,D
3/27/1950,17.610001,17.610001,17.459999,17.459999,2810000,0.150002,17.32904781,17.15780008,1,U
3/28/1950,17.530001,17.530001,17.530001,17.530001,1780000,0,17.34095257,17.1750001,0,D
3/29/1950,17.440001,17.440001,17.440001,17.440001,2090000,0,17.35142886,17.18940014,0,D
3/30/1950,17.299999,17.299999,17.299999,17.299999,2370000,0,17.35428595,17.1982001,0,D
3/31/1950,17.290001,17.290001,17.290001,17.290001,1880000,0,17.35714314,17.20700012,0,U
4/3/1950,17.34,17.530001,17.34,17.530001,2250000,0.190001,17.36857171,17.22020012,0,U
4/4/1950,17.549999,17.549999,17.549999,17.549999,2010000,0,17.37952405,17.2332001,0,U
4/5/1950,17.629999,17.629999,17.629999,17.629999,1430000,0,17.40000014,17.24740008,0,U
4/6/1950,17.780001,17.780001,17.780001,17.780001,2000000,0,17.42809538,17.26580008,0,U
4/10/1950,17.82,17.85,17.82,17.85,3160000,0.03,17.46523824,17.28800008,0,D
4/11/1950,17.75,17.75,17.75,17.75,2010000,0,17.49666681,17.30840008,0,U
4/12/1950,17.940001,17.940001,17.940001,17.940001,2010000,0,17.53571443,17.3308001,0,U
4/13/1950,17.98,17.98,17.98,17.98,2410000,0,17.57047633,17.3500001,0,D
4/14/1950,17.959999,17.959999,17.959999,17.959999,2750000,0,17.59476195,17.3682001,0,D
4/17/1950,17.860001,17.879999,17.860001,17.879999,3950000,0.019998,17.61333333,17.3848001,0,U
4/18/1950,18.030001,18.030001,18.030001,18.030001,3320000,0,17.64095238,17.40080012,0,U
4/19/1950,18.049999,18.049999,18.049999,18.049999,2950000,0,17.6699999,17.41600008,0,D
4/20/1950,17.93,17.93,17.93,17.93,2590000,0,17.692857,17.42820008,0,U
4/21/1950,17.959999,17.959999,17.959999,17.959999,2710000,0,17.71238081,17.44280006,0,D
4/24/1950,17.950001,17.950001,17.83,17.83,3570000,0.120001,17.725238,17.45520008,0,D
4/25/1950,17.83,17.83,17.83,17.83,1830000,0,17.73809519,17.46620006,0,D
4/26/1950,17.76,17.76,17.76,17.76,1880000,0,17.75238095,17.47660006,0,U
4/27/1950,17.860001,17.860001,17.860001,17.860001,2070000,0,17.76809524,17.4926001,0,U
4/28/1950,17.959999,17.959999,17.959999,17.959999,2190000,0,17.79285705,17.5106001,0,U
5/1/1950,18.07,18.219999,18.07,18.219999,3550000,0.149999,17.83666657,17.53520008,0,D
